Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/21  01:00:00,102308564.996141,102308564.996141,295173724.579121,0.0,0.0 
 01/21  02:00:00,110562753.21999,110562753.21999,311974383.51169,0.0,0.0 
 01/21  03:00:00,101764466.699223,101764466.699223,269801130.54483,0.0,0.0 
 01/21  04:00:00,145576193.312027,145576193.312027,350845664.136718,0.0,0.0 
 01/21  05:00:00,138195647.494963,138195647.494963,316310836.407399,0.0,0.0 
 01/21  06:00:00,235469365.401042,235469365.401042,264372050.580306,0.0,0.0 
 01/21  07:00:00,588557885.57592,588557885.57592,431381060.966245,0.0,0.0 
 01/21  08:00:00,683978437.241995,683978437.241995,407303255.180216,0.0,0.0 
 01/21  09:00:00,589754914.817157,589754914.817157,402699322.783051,0.0,0.0 
 01/21  10:00:00,559773526.419826,559773526.419826,401319772.773315,0.0,0.0 
 01/21  11:00:00,541581241.387038,541581241.387038,404802889.740629,0.0,0.0 
 01/21  12:00:00,527461901.088398,527461901.088398,408763196.326891,0.0,0.0 
 01/21  13:00:00,515765655.374252,515765655.374252,404146952.670927,0.0,0.0 
 01/21  14:00:00,505558158.185994,505558158.185994,408122956.180505,0.0,0.0 
 01/21  15:00:00,496663116.380887,496663116.380887,403617461.876048,0.0,0.0 
 01/21  16:00:00,488762959.408018,488762959.408018,403377381.695037,0.0,0.0 
 01/21  17:00:00,488866462.027585,488866462.027585,403199024.258191,0.0,0.0 
 01/21  18:00:00,504638867.39168,504638867.39168,398862271.483297,0.0,0.0 
 01/21  19:00:00,420848814.395352,420848814.395352,291444296.35471,0.0,0.0 
 01/21  20:00:00,446282180.317606,446282180.317606,307432599.768507,0.0,0.0 
 01/21  21:00:00,312829004.382907,312829004.382907,207371669.840065,0.0,0.0 
 01/21  22:00:00,457986133.703862,457986133.703862,309408469.359478,0.0,0.0 
 01/21  23:00:00,49159663.9439956,49159663.9439956,190647954.672642,0.0,0.0 
 01/21  24:00:00,81250224.9641926,81250224.9641926,195594908.638041,0.0,0.0 
 07/21  01:00:00,527653334.858059,527653334.858059,4597200.,158309273.450227,224813060.552967 
 07/21  02:00:00,534179721.358126,534179721.358126,4597200.,158309273.450227,224813060.552967 
 07/21  03:00:00,493406488.732658,493406488.732658,4597200.,158309273.450227,224813060.552967 
 07/21  04:00:00,538002251.10871,538002251.10871,4597200.,158309273.450227,224813060.552967 
 07/21  05:00:00,516352595.464468,516352595.464468,4597200.,152657658.143221,224813060.552967 
 07/21  06:00:00,442819490.768457,442819490.768457,4597200.,126975466.910694,224813060.552967 
 07/21  07:00:00,659930129.21876,659930129.21876,4597200.,124547812.705664,224813060.552967 
 07/21  08:00:00,770864605.822825,770864605.822825,4597200.,124547812.705664,224813060.552967 
 07/21  09:00:00,726247637.51431,726247637.51431,4597200.,124547812.705664,224813060.552967 
 07/21  10:00:00,727664866.912054,727664866.912054,8989389.55894229,124547812.705664,224813060.552967 
 07/21  11:00:00,730319300.685943,730319300.685943,17864289.5849897,124547812.705664,224813060.552967 
 07/21  12:00:00,734637457.330851,734637457.330851,18195641.8768984,124547812.705664,224813060.552967 
 07/21  13:00:00,749074288.879176,749074288.879176,23397115.624762,124547812.705664,224813060.552967 
 07/21  14:00:00,768721618.961695,768721618.961695,23636609.1666899,124547812.705664,224813060.552967 
 07/21  15:00:00,775346161.1274,775346161.1274,17547825.0877984,124547812.705664,224813060.552967 
 07/21  16:00:00,762357890.962327,762357890.962327,16123335.3888966,124547812.705664,224813060.552967 
 07/21  17:00:00,739497020.722212,739497020.722212,19612546.3907842,124547812.705664,224813060.552967 
 07/21  18:00:00,708408706.582924,708408706.582924,13093652.2493404,124596299.006167,224813060.552967 
 07/21  19:00:00,666457244.399554,666457244.399554,8766095.43540163,131783802.309129,224813060.552967 
 07/21  20:00:00,667813391.268124,667813391.268124,8689693.33386656,158309273.450227,224813060.552967 
 07/21  21:00:00,654965375.523691,654965375.52369,4597200.,158309273.450227,224813060.552967 
 07/21  22:00:00,641658110.803649,641658110.803649,8653675.60621295,158309273.450227,224813060.552967 
 07/21  23:00:00,502273860.438618,502273860.438618,4597200.,158309273.450227,224813060.552967 
 07/21  24:00:00,509784434.950137,509784434.950137,4597200.,158309273.450227,224813060.552967 
 01/01  01:00:00,119779375.094487,119779375.094487,140903252.567723,7915463.67251137,33399901.5013581 
 01/01  02:00:00,118884217.660971,118884217.660971,190607490.2058,7915463.67251137,33399901.5013581 
 01/01  03:00:00,105542245.376747,105542245.376747,126899630.50496,7915463.67251137,33399901.5013581 
 01/01  04:00:00,135020422.556643,135020422.556643,187078055.95417,7915463.67251137,33399901.5013581 
 01/01  05:00:00,121337185.85044,121337185.85044,184577524.999303,7915463.67251137,33399901.5013581 
 01/01  06:00:00,106288726.449505,106288726.449505,124072188.631056,7915463.67251137,33399901.5013581 
 01/01  07:00:00,152488858.290179,152488858.290179,184266923.521662,6825706.96067657,41385398.9087341 
 01/01  08:00:00,118076154.154408,118076154.154408,181439593.489682,6450292.45482373,41385398.9087341 
 01/01  09:00:00,78464366.1765528,78464366.1765528,118461075.711301,5495401.4749546,41385398.9087341 
 01/01  10:00:00,86736120.4454386,86736120.4454386,162148432.256222,5375430.95117257,41385398.9087341 
 01/01  11:00:00,80437607.8629275,80437607.8629275,145387292.360328,5370038.36600498,41385398.9087341 
 01/01  12:00:00,65163313.1033144,65163313.1033143,89333021.1035075,5370038.36600498,41385398.9087341 
 01/01  13:00:00,74370091.6015376,74370091.6015376,121869915.050422,5370038.36600498,41385398.9087341 
 01/01  14:00:00,60734398.0422293,60734398.0422293,78562666.3768466,5379944.88617218,41385398.9087341 
 01/01  15:00:00,57847125.3377998,57847125.3377998,64587348.6900766,5450050.27604252,41385398.9087341 
 01/01  16:00:00,63616122.4961408,63616122.4961407,94006776.9388883,5891680.40722578,41385398.9087341 
 01/01  17:00:00,82708790.233543,82708790.233543,60193754.7319557,6825706.96067657,41385398.9087341 
 01/01  18:00:00,90424367.8448998,90424367.8448998,66856541.7407,6825706.96067657,41385398.9087341 
 01/01  19:00:00,99081904.1027771,99081904.1027771,101631298.865992,7915463.67251137,33399901.5013581 
 01/01  20:00:00,106291962.174019,106291962.174019,117732397.14771,7915463.67251137,33399901.5013581 
 01/01  21:00:00,97265198.5002034,97265198.5002034,98033011.7210773,7915463.67251137,33399901.5013581 
 01/01  22:00:00,104050368.017199,104050368.017199,99440176.8608561,7915463.67251137,33399901.5013581 
 01/01  23:00:00,112881617.930383,112881617.930383,118194617.550373,7915463.67251137,33399901.5013581 
 01/01  24:00:00,105954739.643156,105954739.643156,99723861.313964,7915463.67251137,33399901.5013581 
 01/02  01:00:00,112771317.65506,112771317.65506,109922547.822253,7915463.67251137,44533202.0018108 
 01/02  02:00:00,123639080.582252,123639080.582252,131360943.075403,7915463.67251137,44533202.0018108 
 01/02  03:00:00,114340909.783375,114340909.783375,108847755.13395,7915463.67251137,44533202.0018108 
 01/02  04:00:00,119213347.138011,119213347.138011,110934504.212358,7915463.67251137,44533202.0018108 
 01/02  05:00:00,124855839.649614,124855839.649614,121939990.545915,7915463.67251137,44533202.0018108 
 01/02  06:00:00,259670689.3601,259670689.3601,136789572.129236,15830927.3450227,44533202.0018108 
 01/02  07:00:00,619002458.503926,619002458.503926,180852058.868407,13651413.9213531,55180531.8783121 
 01/02  08:00:00,693094281.565741,693094281.565741,162352750.700408,40420543.001099,95796493.4167736 
 01/02  09:00:00,652954263.766984,652954263.766984,153767805.104421,103745561.154458,204227663.759169 
 01/02  10:00:00,544446437.812215,544446437.812215,141394669.97104,97524469.6881813,174055806.616312 
 01/02  11:00:00,494603440.02024,494603440.02024,135578224.669578,97017325.314109,167093070.352576 
 01/02  12:00:00,461989235.115939,461989235.115939,137211518.784128,96660690.5880898,174055806.616312 
 01/02  13:00:00,489292437.059909,489292437.059909,139142486.362267,96660690.5880898,177667514.306075 
 01/02  14:00:00,424959458.292124,424959458.292124,151654453.381213,96660690.5880898,179858086.836092 
 01/02  15:00:00,407901132.836194,407901132.836194,157211001.031774,97696808.3236214,167093070.352576 
 01/02  16:00:00,414803126.690879,414803126.69088,144577681.564364,105128591.478424,167093070.352576 
 01/02  17:00:00,463204837.908894,463204837.908894,143585628.100584,122062187.326333,177537174.74818 
 01/02  18:00:00,470270750.494779,470270750.494779,145449938.071862,68257069.6067657,140923939.573165 
 01/02  19:00:00,379167335.767044,379167335.767044,131944017.059243,40954241.7640594,69106004.4057846 
 01/02  20:00:00,355885725.521067,355885725.521067,126901940.731206,40954241.7640594,59822356.0541363 
 01/02  21:00:00,345129691.022914,345129691.022914,115135192.414552,27302827.8427063,59822356.0541363 
 01/02  22:00:00,340544683.171667,340544683.171667,103411663.707865,27302827.8427063,55180531.8783121 
 01/02  23:00:00,99285849.1003389,99285849.1003388,4597200.,13651413.9213531,55180531.8783121 
 01/02  24:00:00,92454692.4766817,92454692.4766817,4597200.,6825706.96067657,55180531.8783121 
 01/03  01:00:00,72339865.2674801,72339865.26748,4597200.,7915463.67251137,44533202.0018108 
 01/03  02:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 01/03  03:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 01/03  04:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 01/03  05:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 01/03  06:00:00,148771736.953891,148771736.953891,102163932.263525,15830927.3450227,44533202.0018108 
 01/03  07:00:00,370701436.736444,370701436.736444,188968016.731216,13651413.9213531,55180531.8783121 
 01/03  08:00:00,486586919.695067,486586919.695067,181527943.107796,38564886.6580316,95796493.4167736 
 01/03  09:00:00,487760878.253538,487760878.253538,190164558.23695,98699095.1864634,204227663.759169 
 01/03  10:00:00,407399899.06961,407399899.069609,210144247.399052,96660690.5880898,174055806.616312 
 01/03  11:00:00,373879664.310904,373879664.310904,201198403.640768,96660690.5880898,167093070.352576 
 01/03  12:00:00,365441647.727575,365441647.727575,198068905.732135,96660690.5880898,174055806.616312 
 01/03  13:00:00,404383792.052604,404383792.052604,191507289.505228,96660690.5880898,177667514.306075 
 01/03  14:00:00,362460824.802772,362460824.802772,187331855.454964,96660690.5880898,179858086.836092 
 01/03  15:00:00,346049501.476206,346049501.476206,179705346.315682,97130214.9551761,167093070.352576 
 01/03  16:00:00,353885253.893354,353885253.893354,174401229.33974,101211484.940202,167093070.352576 
 01/03  17:00:00,416101775.308013,416101775.308013,176735361.487099,121496719.536613,177537174.74818 
 01/03  18:00:00,401369835.263865,401369835.263865,168215424.508281,68257069.6067657,140923939.573165 
 01/03  19:00:00,321633767.200449,321633767.200449,169870172.067777,40954241.7640594,69106004.4057846 
 01/03  20:00:00,303304143.510136,303304143.510136,167344188.273914,40954241.7640594,59822356.0541363 
 01/03  21:00:00,295468801.466079,295468801.466079,172179391.861161,27302827.8427063,59822356.0541363 
 01/03  22:00:00,296348770.64398,296348770.64398,164290688.215614,27302827.8427063,55180531.8783121 
 01/03  23:00:00,99285849.1003389,99285849.1003388,4597200.,13651413.9213531,55180531.8783121 
 01/03  24:00:00,92454692.4766817,92454692.4766817,4597200.,6825706.96067657,55180531.8783121 
 01/04  01:00:00,72339865.2674801,72339865.26748,4597200.,7915463.67251137,44533202.0018108 
 01/04  02:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 01/04  03:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 01/04  04:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 01/04  05:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 01/04  06:00:00,128949190.207832,128949190.207832,93876547.0170893,15830927.3450227,44533202.0018108 
 01/04  07:00:00,329378439.362907,329378439.362907,185599036.448732,13651413.9213531,55180531.8783121 
 01/04  08:00:00,447562729.188597,447562729.188597,171564414.44188,38751078.8336545,95796493.4167736 
 01/04  09:00:00,462824347.316426,462824347.316426,164505985.36126,99068859.3076192,204227663.759169 
 01/04  10:00:00,389573165.65667,389573165.65667,170766716.870648,97130207.5501488,174055806.616312 
 01/04  11:00:00,358946308.075766,358946308.075766,161109595.244415,96660690.5880898,167093070.352576 
 01/04  12:00:00,352930784.61687,352930784.61687,163688576.791302,96660690.5880898,174055806.616312 
 01/04  13:00:00,389294149.37706,389294149.37706,152583982.68601,96660690.5880898,177667514.306075 
 01/04  14:00:00,351800194.652994,351800194.652994,147803085.013987,96720129.709093,179858086.836092 
 01/04  15:00:00,338131095.840193,338131095.840193,141586167.45259,97480861.0802561,167093070.352576 
 01/04  16:00:00,353225014.87719,353225014.87719,145680463.857207,104206630.900785,167093070.352576 
 01/04  17:00:00,416049884.589781,416049884.589781,159965897.394589,122062187.326333,177537174.74818 
 01/04  18:00:00,400606468.230739,400606468.230739,172274786.244327,68257069.6067657,140923939.573165 
 01/04  19:00:00,319985415.848808,319985415.848808,189260434.967893,40954241.7640594,69106004.4057846 
 01/04  20:00:00,304042417.241187,304042417.241187,192854259.136912,40954241.7640594,59822356.0541363 
 01/04  21:00:00,298540895.29428,298540895.29428,190564083.665311,27302827.8427063,59822356.0541363 
 01/04  22:00:00,300892834.966024,300892834.966024,191964111.991208,27302827.8427063,55180531.8783121 
 01/04  23:00:00,99285849.1003389,99285849.1003388,4597200.,13651413.9213531,55180531.8783121 
 01/04  24:00:00,92454692.4766817,92454692.4766817,4597200.,6825706.96067657,55180531.8783121 
 01/05  01:00:00,72339865.2674801,72339865.26748,4597200.,7915463.67251137,44533202.0018108 
 01/05  02:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 01/05  03:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 01/05  04:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 01/05  05:00:00,81482985.7268997,81482985.7268997,64933535.1480543,7915463.67251137,44533202.0018108 
 01/05  06:00:00,188700316.649306,188700316.649306,227174823.290733,15830927.3450227,44533202.0018108 
 01/05  07:00:00,412808640.498781,412808640.498781,347305295.028203,13651413.9213531,55180531.8783121 
 01/05  08:00:00,497080331.460166,497080331.460166,328157561.570977,37665692.9576309,95796493.4167736 
 01/05  09:00:00,477703308.284791,477703308.284791,322777979.899487,98917226.5491829,204227663.759169 
 01/05  10:00:00,369898033.222531,369898033.222531,315379500.760957,96876635.3631127,174055806.616312 
 01/05  11:00:00,343218951.755988,343218951.755988,276366907.792644,96660690.5880898,167093070.352576 
 01/05  12:00:00,351890414.890943,351890414.890943,254662311.151228,96660690.5880898,174055806.616312 
 01/05  13:00:00,396960477.693097,396960477.693097,230320327.897105,96660690.5880898,177667514.306075 
 01/05  14:00:00,335823684.644431,335823684.644431,211602947.098868,96660690.5880898,179858086.836092 
 01/05  15:00:00,313491120.313044,313491120.313044,181195174.541042,97048966.5935255,167093070.352576 
 01/05  16:00:00,324039555.180115,324039555.180115,168408177.762758,101901372.908769,167093070.352576 
 01/05  17:00:00,395437720.797402,395437720.797402,180041675.509742,120970449.761437,177537174.74818 
 01/05  18:00:00,385871379.065901,385871379.065901,187891692.473288,68257069.6067657,140923939.573165 
 01/05  19:00:00,304478878.628868,304478878.628868,197799203.508091,40954241.7640594,69106004.4057846 
 01/05  20:00:00,291575473.038046,291575473.038046,208251544.296415,40954241.7640594,59822356.0541363 
 01/05  21:00:00,289962427.924317,289962427.924317,224883405.121672,27302827.8427063,59822356.0541363 
 01/05  22:00:00,293467424.634626,293467424.634626,240673342.592368,27302827.8427063,55180531.8783121 
 01/05  23:00:00,99285849.1003389,99285849.1003388,4597200.,13651413.9213531,55180531.8783121 
 01/05  24:00:00,92454692.4766817,92454692.4766817,4597200.,6825706.96067657,55180531.8783121 
 01/06  01:00:00,72339865.2674801,72339865.26748,4597200.,7915463.67251137,44533202.0018108 
 01/06  02:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 01/06  03:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 01/06  04:00:00,76103647.8919612,76103647.8919612,37748550.2909383,7915463.67251137,44533202.0018108 
 01/06  05:00:00,83419338.6392451,83419338.6392451,103007145.219937,7915463.67251137,44533202.0018108 
 01/06  06:00:00,176585856.856317,176585856.856317,231950706.332098,15830927.3450227,44533202.0018108 
 01/06  07:00:00,405399903.660241,405399903.660241,341662937.40753,13651413.9213531,55180531.8783121 
 01/06  08:00:00,487124010.372835,487124010.372835,333849449.781043,37829097.2795286,95796493.4167736 
 01/06  09:00:00,471304058.487146,471304058.487146,327525876.671073,98917226.5491829,204227663.759169 
 01/06  10:00:00,372200114.822218,372200114.822218,327049527.796125,96757757.1211063,174055806.616312 
 01/06  11:00:00,349908667.712649,349908667.712649,309946889.78926,96660690.5880898,167093070.352576 
 01/06  12:00:00,368156629.011662,368156629.011662,300561875.748438,96660690.5880898,174055806.616312 
 01/06  13:00:00,408530672.374317,408530672.374317,301718519.599259,96660690.5880898,177667514.306075 
 01/06  14:00:00,392830923.056467,392830923.056468,298827969.662561,97195642.6771186,179858086.836092 
 01/06  15:00:00,362990283.380874,362990283.380874,289539464.415176,97599739.3222625,167093070.352576 
 01/06  16:00:00,367693994.446186,367693994.446186,296383676.230233,99409008.3893922,167093070.352576 
 01/06  17:00:00,446227643.567434,446227643.567434,322722102.342262,120169891.438402,177537174.74818 
 01/06  18:00:00,433700673.057421,433700673.057421,338630367.026391,68257069.6067657,140923939.573165 
 01/06  19:00:00,370947888.517509,370947888.517509,355907105.006671,40954241.7640594,69106004.4057846 
 01/06  20:00:00,353095886.56641,353095886.56641,361846523.985389,40954241.7640594,59822356.0541363 
 01/06  21:00:00,347800943.184263,347800943.184263,377435964.056403,27302827.8427063,59822356.0541363 
 01/06  22:00:00,352917918.848805,352917918.848805,381757483.218404,27302827.8427063,55180531.8783121 
 01/06  23:00:00,99285849.1003389,99285849.1003389,4597200.,13651413.9213531,55180531.8783121 
 01/06  24:00:00,92454692.4766817,92454692.4766817,4597200.,6825706.96067657,55180531.8783121 
 01/07  01:00:00,70994028.5145131,70994028.5145131,82075690.4395359,7915463.67251137,33399901.5013581 
 01/07  02:00:00,79247752.160336,79247752.1603359,122802962.490997,7915463.67251137,33399901.5013581 
 01/07  03:00:00,80819624.7239186,80819624.7239186,125688439.025283,7915463.67251137,33399901.5013581 
 01/07  04:00:00,78072457.3684175,78072457.3684175,87219818.273075,7915463.67251137,33399901.5013581 
 01/07  05:00:00,92453474.4717692,92453474.4717692,131201988.723209,7915463.67251137,33399901.5013581 
 01/07  06:00:00,238087621.412273,238087621.412273,350074081.317612,7915463.67251137,33399901.5013581 
 01/07  07:00:00,463341542.096679,463341542.096679,458485548.41556,13651413.9213531,55180531.8783121 
 01/07  08:00:00,499581664.088226,499581664.088226,435956199.992105,12552524.2063812,73747828.5816088 
 01/07  09:00:00,360747424.735519,360747424.735519,402793052.596191,33242275.3188721,85222049.4632748 
 01/07  10:00:00,309060409.845122,309060409.845122,364567914.143779,32409091.3610551,93345241.7709671 
 01/07  11:00:00,291914161.65661,291914161.65661,334504538.230032,32220230.1960299,89863873.6390989 
 01/07  12:00:00,295220447.773973,295220447.773973,332006169.736101,32220230.1960299,97987065.9467912 
 01/07  13:00:00,260829356.251213,260829356.251213,317968628.814176,16110115.098015,72652542.3166 
 01/07  14:00:00,232803523.995056,232803523.995056,306262787.08825,16110115.098015,63368893.9649517 
 01/07  15:00:00,212477083.660215,212477083.660215,302579359.153283,16271896.7669465,57566613.7451715 
 01/07  16:00:00,211556363.021968,211556363.021968,311404579.06545,16983562.1514615,52924789.5693473 
 01/07  17:00:00,277409814.805929,277409814.805929,335896657.412362,19926491.1045112,54085245.6133033 
 01/07  18:00:00,98475664.32145,98475664.32145,367122930.712794,6825706.96067657,48348135.1724704 
 01/07  19:00:00,78390468.9441826,78390468.9441826,4597200.,6825706.96067657,41385398.9087341 
 01/07  20:00:00,74496766.5467935,74496766.5467935,42738768.7595336,7915463.67251137,33399901.5013581 
 01/07  21:00:00,81681775.050271,81681775.050271,121515607.803907,7915463.67251137,33399901.5013581 
 01/07  22:00:00,80563706.8793976,80563706.8793976,85217220.1165363,7915463.67251137,33399901.5013581 
 01/07  23:00:00,90791237.5175484,90791237.5175484,126599013.740115,7915463.67251137,33399901.5013581 
 01/07  24:00:00,89257806.9361268,89257806.9361268,127202287.891581,7915463.67251137,33399901.5013581 
 01/08  01:00:00,76516672.7757688,76516672.7757688,88861055.3621056,7915463.67251137,33399901.5013581 
 01/08  02:00:00,101145375.423705,101145375.423705,208655992.354435,7915463.67251137,33399901.5013581 
 01/08  03:00:00,104599177.375328,104599177.375328,247207704.999736,7915463.67251137,33399901.5013581 
 01/08  04:00:00,98393234.4150007,98393234.4150007,205487036.770189,7915463.67251137,33399901.5013581 
 01/08  05:00:00,112299740.12226,112299740.12226,213846591.315766,7915463.67251137,33399901.5013581 
 01/08  06:00:00,125240507.033153,125240507.033153,292085785.583631,7915463.67251137,33399901.5013581 
 01/08  07:00:00,128641588.278626,128641588.278626,248956855.025984,6825706.96067657,41385398.9087341 
 01/08  08:00:00,104924818.906945,104924818.906945,215274775.71586,6261437.32604533,41385398.9087341 
 01/08  09:00:00,79608097.4230109,79608097.4230109,234290277.207865,5515618.83726747,41385398.9087341 
 01/08  10:00:00,68386861.2969416,68386861.2969416,172725559.072407,5382035.2979507,41385398.9087341 
 01/08  11:00:00,71543361.1636365,71543361.1636365,163339626.403969,5370038.36600498,41385398.9087341 
 01/08  12:00:00,62595295.4059399,62595295.4059399,97255370.3171545,5370038.36600498,41385398.9087341 
 01/08  13:00:00,56497578.1894905,56497578.1894904,62410202.4775504,5370038.36600498,41385398.9087341 
 01/08  14:00:00,63970986.2794997,63970986.2794997,96466262.0833894,5370038.36600498,41385398.9087341 
 01/08  15:00:00,69849049.7060907,69849049.7060907,160021805.543236,5414391.76886714,41385398.9087341 
 01/08  16:00:00,61527822.0279835,61527822.0279835,107307394.040281,5645512.01350902,41385398.9087341 
 01/08  17:00:00,83225318.1634211,83225318.1634211,137604889.324341,6591026.85282562,41385398.9087341 
 01/08  18:00:00,104754742.405707,104754742.405707,141826556.078213,6825706.96067657,41385398.9087341 
 01/08  19:00:00,97524474.8289169,97524474.8289169,140862117.00513,7915463.67251137,33399901.5013581 
 01/08  20:00:00,110953342.777226,110953342.777226,169352854.963653,7915463.67251137,33399901.5013581 
 01/08  21:00:00,109181665.249554,109181665.249554,141725907.036087,7915463.67251137,33399901.5013581 
 01/08  22:00:00,109205191.665573,109205191.665573,137564365.486704,7915463.67251137,33399901.5013581 
 01/08  23:00:00,135379364.244706,135379364.244706,165865935.753843,7915463.67251137,33399901.5013581 
 01/08  24:00:00,129082327.22975,129082327.22975,142248098.666164,7915463.67251137,33399901.5013581 
 01/09  01:00:00,123126911.332071,123126911.332071,139756946.264818,7915463.67251137,44533202.0018108 
 01/09  02:00:00,145037952.303345,145037952.303345,169843307.880409,7915463.67251137,44533202.0018108 
 01/09  03:00:00,136576744.281045,136576744.281045,142375788.961622,7915463.67251137,44533202.0018108 
 01/09  04:00:00,130331535.615964,130331535.615964,137492697.468655,7915463.67251137,44533202.0018108 
 01/09  05:00:00,148052338.460841,148052338.460841,166649204.408416,7915463.67251137,44533202.0018108 
 01/09  06:00:00,296676420.39566,296676420.39566,201891867.6926,15830927.3450227,44533202.0018108 
 01/09  07:00:00,611114414.550078,611114414.550078,272661996.787708,13651413.9213531,55180531.8783121 
 01/09  08:00:00,664778338.957078,664778338.957078,253510252.698142,38334097.3880358,95796493.4167736 
 01/09  09:00:00,614789892.397475,614789892.397475,235042124.189183,99208426.1482323,204227663.759169 
 01/09  10:00:00,487254016.681346,487254016.681346,205524734.657401,96660690.5880898,174055806.616312 
 01/09  11:00:00,429791505.604667,429791505.604667,193361818.775412,96660690.5880898,167093070.352576 
 01/09  12:00:00,397051690.149005,397051690.149005,175821661.642721,96660690.5880898,174055806.616312 
 01/09  13:00:00,436919951.398958,436919951.398958,155817212.325779,96660690.5880898,177667514.306075 
 01/09  14:00:00,359631897.804431,359631897.804432,139955680.728698,96660690.5880898,179858086.836092 
 01/09  15:00:00,332567549.683471,332567549.683471,123115176.643222,97011336.7131697,167093070.352576 
 01/09  16:00:00,339018773.182746,339018773.182746,118108878.873253,100774005.941938,167093070.352576 
 01/09  17:00:00,410376983.440412,410376983.440412,137821695.826646,120970449.761437,177537174.74818 
 01/09  18:00:00,431998660.534645,431998660.534645,140449962.041434,68257069.6067657,140923939.573165 
 01/09  19:00:00,347263487.661355,347263487.661355,136187632.037768,40954241.7640594,69106004.4057846 
 01/09  20:00:00,329034662.53548,329034662.53548,124413418.58951,40954241.7640594,59822356.0541363 
 01/09  21:00:00,316408968.76775,316408968.76775,123412625.259344,27302827.8427063,59822356.0541363 
 01/09  22:00:00,317345386.789042,317345386.789042,130588764.598299,27302827.8427063,55180531.8783121 
 01/09  23:00:00,99285849.1003389,99285849.1003388,4597200.,13651413.9213531,55180531.8783121 
 01/09  24:00:00,92454692.4766817,92454692.4766817,4597200.,6825706.96067657,55180531.8783121 
 01/10  01:00:00,72339865.2674801,72339865.26748,4597200.,7915463.67251137,44533202.0018108 
 01/10  02:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 01/10  03:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 01/10  04:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 01/10  05:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 01/10  06:00:00,136388300.687141,136388300.687141,96392602.8605621,15830927.3450227,44533202.0018108 
 01/10  07:00:00,349495393.217823,349495393.217823,181752130.343385,13651413.9213531,55180531.8783121 
 01/10  08:00:00,456715251.768996,456715251.768996,175332942.937237,37665692.9576309,95796493.4167736 
 01/10  09:00:00,419383701.023019,419383701.023019,159295057.989896,98917226.5491829,204227663.759169 
 01/10  10:00:00,336471446.54477,336471446.54477,148789688.824989,96757757.1211063,174055806.616312 
 01/10  11:00:00,317459463.672245,317459463.672245,131117648.117212,96660690.5880898,167093070.352576 
 01/10  12:00:00,321792676.489605,321792676.489605,109076905.533051,96660690.5880898,174055806.616312 
 01/10  13:00:00,343718055.606727,343718055.606727,96259711.8600272,96660690.5880898,177667514.306075 
 01/10  14:00:00,314258697.948293,314258697.948293,89284151.828661,96660690.5880898,179858086.836092 
 01/10  15:00:00,299057476.988358,299057476.988358,87562237.1029113,97167844.8355318,167093070.352576 
 01/10  16:00:00,303177319.267521,303177319.267521,104683355.890788,100482798.937861,167093070.352576 
 01/10  17:00:00,354146795.585135,354146795.585135,129076043.479278,118654946.637314,177537174.74818 
 01/10  18:00:00,356802068.978309,356802068.978309,148538638.462041,68257069.6067657,140923939.573165 
 01/10  19:00:00,272783710.972754,272783710.972754,177241270.355253,40954241.7640594,69106004.4057846 
 01/10  20:00:00,264824129.709966,264824129.709966,189051505.030858,40954241.7640594,59822356.0541363 
 01/10  21:00:00,265610096.618414,265610096.618414,207599062.997208,27302827.8427063,59822356.0541363 
 01/10  22:00:00,268528130.774486,268528130.774486,192209103.082628,27302827.8427063,55180531.8783121 
 01/10  23:00:00,99285849.1003389,99285849.1003388,4597200.,13651413.9213531,55180531.8783121 
 01/10  24:00:00,92454692.4766817,92454692.4766817,4597200.,6825706.96067657,55180531.8783121 
