Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 08/03  14:00:00,588102500.995107,588102500.995107,15699696.3165399,96660690.5880898,167093070.352576 
 08/03  15:00:00,588244857.72389,588244857.72389,14905089.2080277,96660690.5880898,167093070.352576 
 08/03  16:00:00,594889897.42915,594889897.42915,20814117.052817,96660690.5880898,177537174.74818 
 08/03  17:00:00,455896927.292939,455896927.292939,11568420.2744555,53700383.6600498,140923939.573165 
 08/03  18:00:00,303687986.286469,303687986.286469,10264959.6396827,32315302.9970758,69106004.4057846 
 08/03  19:00:00,271303701.781552,271303701.781552,8692824.39492729,38556445.0589768,59822356.0541363 
 08/03  20:00:00,278402811.093463,278402811.093463,4597200.,27302827.8427063,59822356.0541363 
 08/03  21:00:00,261638662.332319,261638662.332319,4597200.,27302827.8427063,55180531.8783121 
 08/03  22:00:00,99285849.1003389,99285849.1003388,4597200.,13651413.9213531,55180531.8783121 
 08/03  23:00:00,92454692.4766817,92454692.4766817,4597200.,6825706.96067657,55180531.8783121 
 08/03  24:00:00,72339865.2674801,72339865.26748,4597200.,7915463.67251137,44533202.0018108 
 08/04  01:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/04  02:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/04  03:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/04  04:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/04  05:00:00,141114219.937787,141114219.937787,4597200.,15830927.3450227,44533202.0018108 
 08/04  06:00:00,228583337.638683,228583337.638683,4597200.,12718263.8749693,55180531.8783121 
 08/04  07:00:00,283930567.073055,283930567.073055,4597200.,32883880.224122,95796493.4167736 
 08/04  08:00:00,570118111.931737,570118111.931737,4597200.,97712606.7482478,204227663.759169 
 08/04  09:00:00,471345597.233112,471345597.233112,8970891.96207396,96660690.5880898,174055806.616312 
 08/04  10:00:00,478614825.407069,478614825.407069,17843067.2025673,96660690.5880898,167093070.352576 
 08/04  11:00:00,514477451.206942,514477451.206942,18156101.8504485,96660690.5880898,174055806.616312 
 08/04  12:00:00,542082487.44368,542082487.44368,24876016.8217337,96660690.5880898,177667514.306075 
 08/04  13:00:00,585874303.110238,585874303.110238,24388503.8785518,96660690.5880898,179858086.836092 
 08/04  14:00:00,579523600.544315,579523600.544315,15304280.5595435,96660690.5880898,167093070.352576 
 08/04  15:00:00,577928881.577305,577928881.577305,15285669.738606,96660690.5880898,167093070.352576 
 08/04  16:00:00,600945144.689842,600945144.689842,20424184.8932558,96660690.5880898,177537174.74818 
 08/04  17:00:00,472009930.452701,472009930.452701,11963967.2238669,53700383.6600498,140923939.573165 
 08/04  18:00:00,312788272.482154,312788272.482154,9872336.53091296,32354929.0777446,69106004.4057846 
 08/04  19:00:00,283649040.821142,283649040.821142,8694627.37349469,38682221.9688612,59822356.0541363 
 08/04  20:00:00,290184391.147102,290184391.147102,4597200.,27302827.8427063,59822356.0541363 
 08/04  21:00:00,283726854.897538,283726854.897538,4597200.,27302827.8427063,55180531.8783121 
 08/04  22:00:00,99285849.1003389,99285849.1003388,4597200.,13651413.9213531,55180531.8783121 
 08/04  23:00:00,92454692.4766817,92454692.4766817,4597200.,6825706.96067657,55180531.8783121 
 08/04  24:00:00,72339865.2674801,72339865.26748,4597200.,7915463.67251137,44533202.0018108 
 08/05  01:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 08/05  02:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 08/05  03:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 08/05  04:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 08/05  05:00:00,56326130.6179892,56326130.6179892,4597200.,7915463.67251137,33399901.5013581 
 08/05  06:00:00,195768850.934523,195768850.934523,4597200.,12569831.15536,55180531.8783121 
 08/05  07:00:00,220680899.973327,220680899.973327,4597200.,10842415.1660343,73747828.5816088 
 08/05  08:00:00,271246649.324265,271246649.324265,4597200.,32220230.1960299,85222049.4632748 
 08/05  09:00:00,286852879.408946,286852879.408946,4597200.,32220230.1960299,93345241.7709671 
 08/05  10:00:00,292552204.273486,292552204.273486,4597200.,32220230.1960299,89863873.6390989 
 08/05  11:00:00,299720052.268944,299720052.268944,4597200.,32220230.1960299,97987065.9467912 
 08/05  12:00:00,265701217.675019,265701217.675019,8748280.61120117,16110115.098015,72652542.3166 
 08/05  13:00:00,248574462.64774,248574462.64774,8737711.79507804,16110115.098015,63368893.9649517 
 08/05  14:00:00,222572397.094531,222572397.094531,8693778.07314399,16110115.098015,57566613.7451715 
 08/05  15:00:00,232071927.556083,232071927.556082,4597200.,16110115.098015,52924789.5693473 
 08/05  16:00:00,244048896.346843,244048896.346843,8678130.68919077,16110115.098015,54085245.6133033 
 08/05  17:00:00,195346159.748596,195346159.748596,4597200.,5370038.36600498,48348135.1724704 
 08/05  18:00:00,147569863.082483,147569863.082483,4597200.,5404485.24869994,41385398.9087341 
 08/05  19:00:00,138761910.93485,138761910.93485,4597200.,7398730.59954501,33399901.5013581 
 08/05  20:00:00,71353768.1179892,71353768.1179892,4597200.,7915463.67251137,33399901.5013581 
 08/05  21:00:00,71353768.1179892,71353768.1179892,4597200.,7915463.67251137,33399901.5013581 
 08/05  22:00:00,71353768.1179892,71353768.1179892,4597200.,7915463.67251137,33399901.5013581 
 08/05  23:00:00,71353768.1179892,71353768.1179892,4597200.,7915463.67251137,33399901.5013581 
 08/05  24:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 08/06  01:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 08/06  02:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 08/06  03:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 08/06  04:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 08/06  05:00:00,56326130.6179892,56326130.6179892,4597200.,7915463.67251137,33399901.5013581 
 08/06  06:00:00,55954069.7644699,55954069.7644699,4597200.,5997885.60068101,41385398.9087341 
 08/06  07:00:00,111874774.378232,111874774.378231,4597200.,5376309.60134053,41385398.9087341 
 08/06  08:00:00,104245085.643199,104245085.643199,4597200.,5370038.36600498,41385398.9087341 
 08/06  09:00:00,115648558.826845,115648558.826845,4597200.,5370038.36600498,41385398.9087341 
 08/06  10:00:00,64901617.3654054,64901617.3654054,4597200.,5370038.36600498,41385398.9087341 
 08/06  11:00:00,47776004.9312081,47776004.9312081,4597200.,5370038.36600498,41385398.9087341 
 08/06  12:00:00,47776004.9312081,47776004.9312081,4597200.,5370038.36600498,41385398.9087341 
 08/06  13:00:00,47776004.9312081,47776004.9312081,4597200.,5370038.36600498,41385398.9087341 
 08/06  14:00:00,47776004.9312081,47776004.9312081,4597200.,5370038.36600498,41385398.9087341 
 08/06  15:00:00,47776004.9312081,47776004.9312081,4597200.,5370038.36600498,41385398.9087341 
 08/06  16:00:00,47776004.9312081,47776004.9312081,4597200.,5370038.36600498,41385398.9087341 
 08/06  17:00:00,47784370.0008238,47784370.0008238,4597200.,5378400.56163959,41385398.9087341 
 08/06  18:00:00,54836821.3968209,54836821.3968209,4597200.,6258273.29890403,33399901.5013581 
 08/06  19:00:00,41732764.449647,41732764.449647,4597200.,7452902.69247769,33399901.5013581 
 08/06  20:00:00,71353768.1179892,71353768.1179892,4597200.,7915463.67251137,33399901.5013581 
 08/06  21:00:00,71353768.1179892,71353768.1179892,4597200.,7915463.67251137,33399901.5013581 
 08/06  22:00:00,71353768.1179892,71353768.1179892,4597200.,7915463.67251137,33399901.5013581 
 08/06  23:00:00,71353768.1179892,71353768.1179892,4597200.,7915463.67251137,33399901.5013581 
 08/06  24:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251137,33399901.5013581 
 08/07  01:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/07  02:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/07  03:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/07  04:00:00,72340000.9157607,72340000.9157607,4597200.,7915463.67251137,44533202.0018108 
 08/07  05:00:00,75548266.3383602,75548266.3383602,4597200.,15830927.3450227,44533202.0018108 
 08/07  06:00:00,82055395.4453065,82055395.4453065,4597200.,11961288.3838795,55180531.8783121 
 08/07  07:00:00,166699919.553833,166699919.553833,4597200.,32257857.6080432,95796493.4167736 
 08/07  08:00:00,381537423.236634,381537423.236634,4597200.,96660690.5880898,204227663.759169 
 08/07  09:00:00,367602603.031291,367602603.031291,4597200.,96660690.5880898,174055806.616312 
 08/07  10:00:00,375550055.32644,375550055.32644,4597200.,96660690.5880898,167093070.352576 
 08/07  11:00:00,391853381.070794,391853381.070794,13627724.1122445,96660690.5880898,174055806.616312 
